,Aggregated name,Species links,Catalogue of Fishes ID,Taxonomic standing,Eschmeyer accepted name 
fila.90,Allenbatrachus-grunniens,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=64018,64018,Valid,Allenbatrachus grunniens
fila.91,Alosa-aestivalis,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=25727,25727,Valid,Alosa aestivalis
fila.92,Alosa-alabamae,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=61814,61814,Valid,Alosa alabamae
fila.93,Alosa-algeriensis,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=55794,55794,Valid,Alosa algeriensis
fila.94,Alosa-alosa,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=1156,1156,Valid,Alosa alosa
fila.95,Alosa-braschnikowi,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=62382,62382,Valid,Alosa braschnikowi
fila.96,Alosa-caspia,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=1268,1268,Valid,Alosa caspia
fila.97,Alosa-chrysochloris,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=1161,1161,Valid,Alosa chrysochloris
fila.98,Alosa-fallax,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=1282,1282,Valid,Alosa fallax
fila.99,Alosa-immaculata,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=25621,25621,Valid,Alosa immaculata
fila.100,Alosa-kessleri,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=62840,62840,Valid,Alosa kessleri
fila.101,Alosa-maeotica,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=61767,61767,Valid,Alosa maeotica
fila.102,Alosa-mediocris,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=62923,62923,Valid,Alosa mediocris
fila.103,Alosa-pseudoharengus,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=25734,25734,Valid,Alosa pseudoharengus
fila.104,Alosa-sapidissima,http://researcharchive.calacademy.org/research/ichthyology/catalog/fishcatget.asp?spid=62222,62222,Valid,Alosa sapidissima
